"","Subject","MType","Group","ACC"
"194","5fe5defb","full","M",0.78125
"195","5fe5defb","tbr","M",0.4375
"196","612ee43e","f0","C",0.447916666666667
"197","612ee43e","full","C",0.572916666666667
"198","612ee43e","tbr","C",0.510416666666667
"199","61fc0400","f0","M",0.635416666666667
"200","61fc0400","full","M",0.791666666666667
"201","61fc0400","tbr","M",0.4375
"202","6211ef6d","f0","C",0.666666666666667
"203","6211ef6d","full","C",0.697916666666667
"204","6211ef6d","tbr","C",0.489583333333333
"205","62fa948a","f0","C",0.572916666666667
"206","62fa948a","full","C",0.708333333333333
"207","62fa948a","tbr","C",0.4375
"208","6391d0cc","f0","C",0.65625
"209","6391d0cc","full","C",0.833333333333333
"210","6391d0cc","tbr","C",0.510416666666667
"211","664d98e4","f0","M",0.65625
"212","664d98e4","full","M",0.697916666666667
"213","664d98e4","tbr","M",0.34375
"214","67771cc7","f0","C",0.5625
"215","67771cc7","full","C",0.802083333333333
"216","67771cc7","tbr","C",0.447916666666667
"217","6a1429c4","f0","M",0.677083333333333
"218","6a1429c4","full","M",0.71875
"219","6a1429c4","tbr","M",0.489583333333333
"220","6b95592b","f0","C",0.53125
"221","6b95592b","full","C",0.666666666666667
"222","6b95592b","tbr","C",0.40625
"223","720dfefd","f0","A",0.650718390804598
"224","720dfefd","full","A",0.799662162162162
"225","720dfefd","tbr","A",0.569627192982456
"226","72c9fa91","f0","C",0.635416666666667
"227","72c9fa91","full","C",0.78125
"228","72c9fa91","tbr","C",0.416666666666667
"229","73314bd1","f0","A",0.531752873563218
"230","73314bd1","full","A",0.673321678321678
"231","73314bd1","tbr","A",0.315258563899868
"232","7481904c","f0","M",0.635416666666667
"233","7481904c","full","M",0.791666666666667
"234","7481904c","tbr","M",0.46875
"235","76cf1530","f0","C",0.645833333333333
"236","76cf1530","full","C",0.739583333333333
"237","76cf1530","tbr","C",0.385416666666667
"238","76e8cb48","f0","A",0.73216979099332
"239","76e8cb48","full","A",0.802884615384615
"240","76e8cb48","tbr","A",0.33759746588694
"241","79cdb9f1","f0","C",0.645833333333333
"242","79cdb9f1","full","C",0.697916666666667
"243","79cdb9f1","tbr","C",0.34375
"244","7c3eda1e","f0","M",0.65625
"245","7c3eda1e","full","M",0.75
"246","7c3eda1e","tbr","M",0.385416666666667
"247","7e6efe5e","f0","M",0.645833333333333
"248","7e6efe5e","full","M",0.78125
"249","7e6efe5e","tbr","M",0.385416666666667
"250","7eabca12","f0","A",0.641603589173922
"251","7eabca12","full","A",0.857142857142857
"252","7eabca12","tbr","A",0.326524868878692
"253","82a6607f","f0","A",0.683359369266416
"254","82a6607f","full","A",0.796862557732123
"255","82a6607f","tbr","A",0.383187464709204
"256","863033bd","f0","A",0.639891304347826
"257","863033bd","full","A",0.719389619883041
"258","863033bd","tbr","A",0.354191370223979
"259","8aca3bdd","f0","A",0.636674718196457
"260","8aca3bdd","full","A",0.816640786749482
"261","8aca3bdd","tbr","A",0.323515325670498
"262","8ed04a1e","f0","A",0.548018648018648
"263","8ed04a1e","full","A",0.698291650877858
"264","8ed04a1e","tbr","A",0.307539682539683
"265","90249921","f0","A",0.501893939393939
"266","90249921","full","A",0.607126511932004
"267","90249921","tbr","A",0.418137254901961
"268","929dad4d","f0","A",0.561066252587992
"269","929dad4d","full","A",0.713568376068376
"270","929dad4d","tbr","A",0.468901515151515
"271","94d6da82","f0","M",0.572916666666667
"272","94d6da82","full","M",0.791666666666667
"273","94d6da82","tbr","M",0.4375
"274","9548883f","f0","M",0.635416666666667
"275","9548883f","full","M",0.791666666666667
"276","9548883f","tbr","M",0.375
"277","95c7a9cf","f0","A",0.401507936507936
"278","95c7a9cf","full","A",0.605893069778519
"279","95c7a9cf","tbr","A",0.329382183908046
"280","96917011","f0","M",0.697916666666667
"281","96917011","full","M",0.802083333333333
"282","96917011","tbr","M",0.385416666666667
"283","98d32600","f0","C",0.614583333333333
"284","98d32600","full","C",0.739583333333333
"285","98d32600","tbr","C",0.416666666666667
"286","996cd43e","f0","M",0.604166666666667
"287","996cd43e","full","M",0.8125
"288","996cd43e","tbr","M",0.427083333333333
"289","99a3afac","f0","A",0.651785714285714
"290","99a3afac","full","A",0.781042884990253
"291","99a3afac","tbr","A",0.29207157784744
"292","9cb4bdd9","f0","C",0.59375
"293","9cb4bdd9","full","C",0.739583333333333
"294","9cb4bdd9","tbr","C",0.364583333333333
"295","9d49e9bb","f0","A",0.531596889952153
"296","9d49e9bb","full","A",0.722619047619048
"297","9d49e9bb","tbr","A",0.443636363636364
"298","a456f01b","f0","A",0.729929193899782
"299","a456f01b","full","A",0.836103896103896
"300","a456f01b","tbr","A",0.63986013986014
"301","a4a459c5","f0","M",0.739583333333333
"302","a4a459c5","full","M",0.864583333333333
"303","a4a459c5","tbr","M",0.322916666666667
"304","a4d96170","f0","C",0.625
"305","a4d96170","full","C",0.864583333333333
"306","a4d96170","tbr","C",0.385416666666667
"307","a617a0f5","f0","A",0.653965517241379
"308","a617a0f5","full","A",0.765512265512265
"309","a617a0f5","tbr","A",0.365244122035293
"310","a6c585d3","f0","A",0.585326953748006
"311","a6c585d3","full","A",0.777777777777778
"312","a6c585d3","tbr","A",0.326007326007326
"313","a759bf90","f0","M",0.59375
"314","a759bf90","full","M",0.760416666666667
"315","a759bf90","tbr","M",0.385416666666667
"316","a80befde","f0","A",0.676921368861024
"317","a80befde","full","A",0.830047760210804
"318","a80befde","tbr","A",0.394093722369584
"319","a83a560b","f0","A",0.638669590643275
"320","a83a560b","full","A",0.822180134680135
"321","a83a560b","tbr","A",0.455083965953531
"322","a9c2b21f","f0","A",0.666020066889632
"323","a9c2b21f","full","A",0.79895814125023
"324","a9c2b21f","tbr","A",0.425868055555556
"325","ac31d7f9","f0","A",0.574347826086957
"326","ac31d7f9","full","A",0.78760192553296
"327","ac31d7f9","tbr","A",0.450174825174825
"328","aca0bd2a","f0","M",0.677083333333333
"329","aca0bd2a","full","M",0.75
"330","aca0bd2a","tbr","M",0.364583333333333
"331","ad5fe97f","f0","A",0.659338624338624
"332","ad5fe97f","full","A",0.683794692626214
"333","ad5fe97f","tbr","A",0.365454545454545
"334","aecbc5c2","f0","A",0.286949233716475
"335","aecbc5c2","full","A",0.405316905316905
"336","aecbc5c2","tbr","A",0.326752873563218
"337","af81b846","f0","A",0.679810789049919
"338","af81b846","full","A",0.823308270676692
"339","af81b846","tbr","A",0.482413793103448
"340","afaf9330","f0","A",0.550917832167832
"341","afaf9330","full","A",0.762493354598618
"342","afaf9330","tbr","A",0.427448593073593
"343","affea6fc","f0","A",0.570756069058276
"344","affea6fc","full","A",0.673148148148148
"345","affea6fc","tbr","A",0.40139652014652
"346","b0ae6cfa","f0","A",0.550267401021711
"347","b0ae6cfa","full","A",0.68399209486166
"348","b0ae6cfa","tbr","A",0.377827817343946
"349","b1050cbb","f0","M",0.645833333333333
"350","b1050cbb","full","M",0.770833333333333
"351","b1050cbb","tbr","M",0.447916666666667
"352","b2a5db19","f0","A",0.599122807017544
"353","b2a5db19","full","A",0.602369499828665
"354","b2a5db19","tbr","A",0.524527374470659
"355","b61350fc","f0","C",0.583333333333333
"356","b61350fc","full","C",0.729166666666667
"357","b61350fc","tbr","C",0.395833333333333
"358","b6586471","f0","A",0.668478260869565
"359","b6586471","full","A",0.775804924242424
"360","b6586471","tbr","A",0.479619035511484
"361","b778eb4f","f0","A",0.701086956521739
"362","b778eb4f","full","A",0.763923395445135
"363","b778eb4f","tbr","A",0.328546134172733
"364","b7d815e5","f0","A",0.622501202501202
