"","Subject","Group","fea_f0","fea_full","fea_tbr","hap_f0","hap_full","hap_tbr","ple_f0","ple_full","ple_tbr","sad_f0","sad_full","sad_tbr"
"12","1a4d3592",1,0.708333333333333,0.692307692307692,0.428571428571429,0.761904761904762,1,0.346153846153846,0.4375,0.72,0.291666666666667,0.666666666666667,0.941176470588235,0.5
"13","1d0d6b00",1,0.428571428571429,0.419354838709677,0.421052631578947,0.5,0.851851851851852,0.0666666666666667,0.25,0.32258064516129,0.178571428571429,0.6,0.526315789473684,0.551724137931034
"14","1f5b1d12",1,0.916666666666667,0.875,0.68,0.821428571428571,0.954545454545455,0.125,0.4,0.620689655172414,0.241379310344828,0.75,0.947368421052632,0.470588235294118
"15","1fcd9703",2,0.448275862068966,0.407407407407407,0.307692307692308,0.75,1,0.413793103448276,0.619047619047619,0.708333333333333,0.483870967741935,0.764705882352941,0.833333333333333,0.375
"16","22575a7a",2,0.526315789473684,0.75,0.608695652173913,0.666666666666667,0.954545454545455,0.296296296296296,0.476190476190476,0.740740740740741,0.451612903225806,0.384615384615385,0.523809523809524,0.24
"17","2317733b",1,0.62962962962963,0.727272727272727,0.478260869565217,0.833333333333333,1,0.696969696969697,0.678571428571429,0.761904761904762,0.464285714285714,0.652173913043478,0.833333333333333,0.333333333333333
"18","265c651e",1,0.470588235294118,0.758620689655172,0.0869565217391304,0.612903225806452,0.888888888888889,0.590909090909091,0.541666666666667,0.666666666666667,0.241379310344828,0.714285714285714,0.8,0.75
"19","2813cf23",2,0.444444444444444,0.291666666666667,0.0833333333333333,0.590909090909091,0.896551724137931,0.65,0.71875,0.576923076923077,0.416666666666667,0.25,0.56,0.363636363636364
"20","2e65ce6e",2,0.5,0.476190476190476,0.45,0.652173913043478,1,0.333333333333333,0.592592592592593,0.62962962962963,0.48,0.666666666666667,0.653846153846154,0.3
"21","324cea26",2,0.434782608695652,0.739130434782609,0.318181818181818,0.8,0.9,0.48,0.366666666666667,0.758620689655172,0.5,0.91304347826087,0.857142857142857,0.375
