"","Subject","Group","fea_f0","fea_full","fea_tbr","hap_f0","hap_full","hap_tbr","ple_f0","ple_full","ple_tbr","sad_f0","sad_full","sad_tbr"
"21","1d02e7f7","C",0.458333333333333,0.708333333333333,0.125,0.875,0.958333333333333,0.458333333333333,0.333333333333333,0.5,0.25,0.833333333333333,0.833333333333333,0.708333333333333
"22","1d0d6b00","A",0.428571428571429,0.419354838709677,0.421052631578947,0.5,0.851851851851852,0.0666666666666667,0.25,0.32258064516129,0.178571428571429,0.6,0.526315789473684,0.551724137931034
"23","1dd171b3","M",0.681818181818182,0.565217391304348,0.3,0.916666666666667,0.833333333333333,0.652173913043478,0.454545454545455,0.44,0.413793103448276,0.583333333333333,0.423076923076923,0.444444444444444
"24","1e39cb82","M",0.666666666666667,0.666666666666667,0.25,0.583333333333333,1,0.333333333333333,0.541666666666667,0.666666666666667,0.5,0.625,0.625,0.458333333333333
"25","1ef92b98","M",0.583333333333333,0.75,0.25,0.833333333333333,0.958333333333333,0.666666666666667,0.625,0.875,0.583333333333333,0.666666666666667,0.791666666666667,0.625
"26","1f5b1d12","A",0.916666666666667,0.875,0.68,0.821428571428571,0.954545454545455,0.125,0.4,0.620689655172414,0.241379310344828,0.75,0.947368421052632,0.470588235294118
"27","1fcd9703","A",0.448275862068966,0.407407407407407,0.307692307692308,0.75,1,0.413793103448276,0.619047619047619,0.708333333333333,0.483870967741935,0.764705882352941,0.833333333333333,0.375
"28","20ad6b57","M",0.458333333333333,0.375,0.291666666666667,0.75,0.958333333333333,0.625,0.5,0.583333333333333,0.25,0.625,0.833333333333333,0.416666666666667
"29","22575a7a","A",0.526315789473684,0.75,0.608695652173913,0.666666666666667,0.954545454545455,0.296296296296296,0.476190476190476,0.740740740740741,0.451612903225806,0.384615384615385,0.523809523809524,0.24
"30","2317733b","A",0.62962962962963,0.727272727272727,0.478260869565217,0.833333333333333,1,0.696969696969697,0.678571428571429,0.761904761904762,0.464285714285714,0.652173913043478,0.833333333333333,0.333333333333333
"31","265c651e","A",0.470588235294118,0.758620689655172,0.0869565217391304,0.612903225806452,0.888888888888889,0.590909090909091,0.541666666666667,0.666666666666667,0.241379310344828,0.714285714285714,0.8,0.75
"32","2813cf23","A",0.444444444444444,0.291666666666667,0.0833333333333333,0.590909090909091,0.896551724137931,0.65,0.71875,0.576923076923077,0.416666666666667,0.25,0.56,0.363636363636364
"33","29731bf1","M",0.75,0.916666666666667,0.625,0.625,0.916666666666667,0.541666666666667,0.583333333333333,0.666666666666667,0.458333333333333,0.375,0.458333333333333,0.333333333333333
"34","2a37084e","C",0.458333333333333,0.333333333333333,0.541666666666667,0.708333333333333,0.833333333333333,0.291666666666667,0.458333333333333,0.791666666666667,0.458333333333333,0.5,0.75,0.583333333333333
"35","2e65ce6e","A",0.5,0.476190476190476,0.45,0.652173913043478,1,0.333333333333333,0.592592592592593,0.62962962962963,0.48,0.666666666666667,0.653846153846154,0.3
"36","318c705f","C",0.666666666666667,0.708333333333333,0.625,1,1,0.458333333333333,0.375,0.75,0.333333333333333,0.291666666666667,0.5,0.375
"37","324cea26","A",0.434782608695652,0.739130434782609,0.318181818181818,0.8,0.9,0.48,0.366666666666667,0.758620689655172,0.5,0.91304347826087,0.857142857142857,0.375
"38","34bc7021","A",0.352941176470588,0.44,0.157894736842105,0.851851851851852,1,0.684210526315789,0.714285714285714,0.708333333333333,0.217391304347826,0.68,0.689655172413793,0.653846153846154
"39","3655c713","C",0.5,0.75,0.458333333333333,0.833333333333333,0.958333333333333,0.291666666666667,0.583333333333333,0.833333333333333,0.5,0.833333333333333,0.875,0.541666666666667
"40","36d3024f","A",0.633333333333333,0.705882352941177,0.464285714285714,0.791666666666667,0.823529411764706,0.473684210526316,0.277777777777778,0.757575757575758,0.392857142857143,0.814814814814815,0.615384615384615,0.476190476190476
"41","38c800a9","A",0.478260869565217,0.538461538461538,0.0740740740740741,0.782608695652174,0.962962962962963,0.666666666666667,0.652173913043478,0.826086956521739,0.566666666666667,0.962962962962963,0.851851851851852,0.458333333333333
"42","390dc09f","A",0.416666666666667,0.791666666666667,0.35,0.84,0.875,0.25,0.695652173913043,0.80952380952381,0.4375,0.769230769230769,0.76,0.37037037037037
"43","39a234f0","A",0.518518518518518,0.590909090909091,0.346153846153846,0.863636363636364,1,0.5,0.458333333333333,0.772727272727273,0.3,0.466666666666667,0.523809523809524,0.344827586206897
"44","3c3d554a","A",0.523809523809524,0.545454545454545,0.382352941176471,0.866666666666667,1,0.8,0.16,0.478260869565217,0,0.612903225806452,0.64,0.416666666666667
"45","3d3bbe78","A",0.529411764705882,0.833333333333333,0.580645161290323,0.814814814814815,0.962962962962963,0.65,0.571428571428571,0.653846153846154,0.607142857142857,0.727272727272727,0.736842105263158,0.571428571428571
"46","3e232fdc","C",0.625,0.666666666666667,0.291666666666667,0.375,0.791666666666667,0.458333333333333,0.5,0.75,0.333333333333333,0.666666666666667,0.625,0.583333333333333
"47","420281f8","A",0.740740740740741,0.619047619047619,0.391304347826087,0.576923076923077,0.941176470588235,0.0769230769230769,0.444444444444444,0.586206896551724,0.5,0.633333333333333,0.67741935483871,0.411764705882353
"48","45eeb9e9","A",0.2,0.275862068965517,0.136363636363636,0.857142857142857,1,0.708333333333333,0.0434782608695652,0.235294117647059,0.0833333333333333,0.583333333333333,0.8,0.542857142857143
"49","4964d924","M",0.583333333333333,0.416666666666667,0.333333333333333,0.916666666666667,1,0.333333333333333,0.291666666666667,0.708333333333333,0.25,0.583333333333333,0.5,0.208333333333333
"50","49b9b3ec","A",0.714285714285714,0.724137931034483,0.217391304347826,0.65,0.96551724137931,0.36,0.652173913043478,0.733333333333333,0.379310344827586,0.821428571428571,0.85,0.6875
"51","4b52d9bd","A",0.692307692307692,0.8,0.3125,0.9375,0.96,0.95,0.375,0.64,0.2,0.695652173913043,0.791666666666667,0.615384615384615
"52","4e408b32","M",0.666666666666667,0.625,0.333333333333333,0.833333333333333,0.958333333333333,0.416666666666667,0.416666666666667,0.583333333333333,0.291666666666667,0.458333333333333,0.75,0.333333333333333
"53","53a653db","A",0.846153846153846,0.782608695652174,0.444444444444444,0.894736842105263,0.96969696969697,0.5,0.578947368421053,0.863636363636364,0.285714285714286,0.75,0.826086956521739,0.423076923076923
"54","53b9a972","C",0.25,0.5,0.0416666666666667,0.916666666666667,0.916666666666667,0.833333333333333,0.458333333333333,0.708333333333333,0.25,0.541666666666667,0.625,0.25
"55","552e0861","A",0.5,0.516129032258065,0.333333333333333,0.925925925925926,0.863636363636364,0.5625,0.538461538461538,0.714285714285714,0.411764705882353,0.869565217391304,0.888888888888889,0.344827586206897
"56","5746bdf9","C",0.666666666666667,0.666666666666667,0.583333333333333,0.875,0.958333333333333,0.541666666666667,0.583333333333333,0.708333333333333,0.375,0.75,0.75,0.625
