"","Subject","Group","f0","full","tbr","Mean"
"42","53a653db","A",0.76745951417004,0.860507246376812,0.413308913308913,0.680425224618588
"43","53b9a972","C",0.541666666666667,0.6875,0.34375,0.524305555555555
"44","552e0861","A",0.708488170444692,0.745734999767258,0.413106406355646,0.622443192189199
"45","5746bdf9","C",0.71875,0.770833333333333,0.53125,0.673611111111111
"46","5846c1bb","A",0.781013957307061,0.895666434459538,0.4166168261563,0.697765739307633
"47","58deb6f7","C",0.447916666666667,0.645833333333333,0.375,0.489583333333333
"48","5c4e274d","A",0.710484870166131,0.748393581399736,0.332144979203803,0.597007810256557
"49","5c9f5075","C",0.447916666666667,0.614583333333333,0.416666666666667,0.493055555555556
"50","5d221b19","C",0.541666666666667,0.59375,0.302083333333333,0.479166666666667
"51","5f457077","A",0.715729541244415,0.77135068854933,0.384787087912088,0.623955772568611
"52","612ee43e","C",0.447916666666667,0.572916666666667,0.510416666666667,0.510416666666667
"53","6211ef6d","C",0.666666666666667,0.697916666666667,0.489583333333333,0.618055555555556
"54","62fa948a","C",0.572916666666667,0.708333333333333,0.4375,0.572916666666667
"55","6391d0cc","C",0.65625,0.833333333333333,0.510416666666667,0.666666666666667
"56","67771cc7","C",0.5625,0.802083333333333,0.447916666666667,0.604166666666667
"57","6b95592b","C",0.53125,0.666666666666667,0.40625,0.534722222222222
"58","720dfefd","A",0.650718390804598,0.799662162162162,0.569627192982456,0.673335915316405
"59","72c9fa91","C",0.635416666666667,0.78125,0.416666666666667,0.611111111111111
"60","73314bd1","A",0.531752873563218,0.673321678321678,0.315258563899868,0.506777705261588
"61","76cf1530","C",0.645833333333333,0.739583333333333,0.385416666666667,0.590277777777778
"62","76e8cb48","A",0.73216979099332,0.802884615384615,0.33759746588694,0.624217290754958
"63","79cdb9f1","C",0.645833333333333,0.697916666666667,0.34375,0.5625
"64","7eabca12","A",0.641603589173922,0.857142857142857,0.326524868878692,0.608423771731824
"65","82a6607f","A",0.683359369266416,0.796862557732123,0.383187464709204,0.621136463902581
"66","863033bd","A",0.639891304347826,0.719389619883041,0.354191370223979,0.571157431484949
"67","8aca3bdd","A",0.636674718196457,0.816640786749482,0.323515325670498,0.592276943538813
"68","8ed04a1e","A",0.548018648018648,0.698291650877858,0.307539682539683,0.517949993812063
"69","90249921","A",0.501893939393939,0.607126511932004,0.418137254901961,0.509052568742635
"70","929dad4d","A",0.561066252587992,0.713568376068376,0.468901515151515,0.581178714602628
"71","95c7a9cf","A",0.401507936507936,0.605893069778519,0.329382183908046,0.4455943967315
"72","98d32600","C",0.614583333333333,0.739583333333333,0.416666666666667,0.590277777777778
"73","99a3afac","A",0.651785714285714,0.781042884990253,0.29207157784744,0.574966725707803
"74","9cb4bdd9","C",0.59375,0.739583333333333,0.364583333333333,0.565972222222222
"75","9d49e9bb","A",0.531596889952153,0.722619047619048,0.443636363636364,0.565950767069188
"76","a456f01b","A",0.729929193899782,0.836103896103896,0.63986013986014,0.735297743287939
"77","a4d96170","C",0.625,0.864583333333333,0.385416666666667,0.625
"78","a617a0f5","A",0.653965517241379,0.765512265512265,0.365244122035293,0.594907301596313
"79","a6c585d3","A",0.585326953748006,0.777777777777778,0.326007326007326,0.563037352511037
"80","a80befde","A",0.676921368861024,0.830047760210804,0.394093722369584,0.633687617147137
"81","a83a560b","A",0.638669590643275,0.822180134680135,0.455083965953531,0.63864456375898
"82","a9c2b21f","A",0.666020066889632,0.79895814125023,0.425868055555556,0.630282087898473
"83","ac31d7f9","A",0.574347826086957,0.78760192553296,0.450174825174825,0.604041525598247
"84","ad5fe97f","A",0.659338624338624,0.683794692626214,0.365454545454545,0.569529287473128
"85","aecbc5c2","A",0.286949233716475,0.405316905316905,0.326752873563218,0.339673004198866
"86","af81b846","A",0.679810789049919,0.823308270676692,0.482413793103448,0.661844284276686
"87","afaf9330","A",0.550917832167832,0.762493354598618,0.427448593073593,0.580286593280014
"88","affea6fc","A",0.570756069058276,0.673148148148148,0.40139652014652,0.548433579117648
"89","b0ae6cfa","A",0.550267401021711,0.68399209486166,0.377827817343946,0.537362437742439
"90","b2a5db19","A",0.599122807017544,0.602369499828665,0.524527374470659,0.575339893772289
"91","b61350fc","C",0.583333333333333,0.729166666666667,0.395833333333333,0.569444444444445
"92","b6586471","A",0.668478260869565,0.775804924242424,0.479619035511484,0.641300740207824
"93","b778eb4f","A",0.701086956521739,0.763923395445135,0.328546134172733,0.597852162046535
"94","b7d815e5","A",0.622501202501202,0.695298573975045,0.399539252170831,0.572446342882359
"95","bae52251","C",0.614583333333333,0.666666666666667,0.40625,0.5625
"96","bc79fe8e","C",0.479166666666667,0.541666666666667,0.322916666666667,0.447916666666667
"97","bd25afd1","C",0.708333333333333,0.760416666666667,0.375,0.614583333333333
"98","beac6eba","A",0.637468671679198,0.732592641799803,0.479779411764706,0.616613575081236
"99","bf63d4b0","A",0.619096133751306,0.805296481211813,0.440064102564103,0.621485572509074
"100","bfd763d3","C",0.71875,0.760416666666667,0.46875,0.649305555555556
"101","c2777d5e","A",0.663848364279399,0.75201418951419,0.423781328320802,0.613214627371463
"102","c2b2b585","A",0.643466082085008,0.711768219832736,0.409420289855072,0.588218197257605
"103","c2efc2bd","A",0.6296875,0.803370140326662,0.430689650262019,0.621249096862894
"104","c5dd6f55","A",0.581576858629509,0.757894736842105,0.491935170807453,0.610468922093023
"105","d4970135","A",0.654682159945318,0.739995791245791,0.428623188405797,0.607767046532302
"106","d6fc8611","A",0.477272727272727,0.674471104231166,0.361845986257751,0.504529939253881
"107","d832cea2","A",0.663733766233766,0.805885708461559,0.477314814814815,0.64897809650338
"108","dba29b75","A",0.781123321123321,0.944444444444444,0.546991315136476,0.757519693568081
"109","dc760a5d","A",0.64042735042735,0.814213564213564,0.405328116017179,0.619989676886031
