"","Subject","Group","f0","full","tbr","Mean"
"44","8aca3bdd",1,0.636674718196457,0.816640786749482,0.323515325670498,0.592276943538813
"45","8ed04a1e",2,0.548018648018648,0.698291650877858,0.307539682539683,0.517949993812063
"46","90249921",1,0.501893939393939,0.607126511932004,0.418137254901961,0.509052568742635
"47","929dad4d",1,0.561066252587992,0.713568376068376,0.468901515151515,0.581178714602628
"48","95c7a9cf",2,0.401507936507936,0.605893069778519,0.329382183908046,0.4455943967315
"49","99a3afac",2,0.651785714285714,0.781042884990253,0.29207157784744,0.574966725707803
"50","9d49e9bb",2,0.531596889952153,0.722619047619048,0.443636363636364,0.565950767069188
"51","a456f01b",1,0.729929193899782,0.836103896103896,0.63986013986014,0.735297743287939
"52","a617a0f5",2,0.653965517241379,0.765512265512265,0.365244122035293,0.594907301596313
"53","a6c585d3",1,0.585326953748006,0.777777777777778,0.326007326007326,0.563037352511037
"54","a80befde",2,0.676921368861024,0.830047760210804,0.394093722369584,0.633687617147137
"55","a83a560b",2,0.638669590643275,0.822180134680135,0.455083965953531,0.63864456375898
"56","a9c2b21f",1,0.666020066889632,0.79895814125023,0.425868055555556,0.630282087898473
"57","ac31d7f9",1,0.574347826086957,0.78760192553296,0.450174825174825,0.604041525598247
"58","ad5fe97f",2,0.659338624338624,0.683794692626214,0.365454545454545,0.569529287473128
"59","aecbc5c2",1,0.286949233716475,0.405316905316905,0.326752873563218,0.339673004198866
"60","af81b846",1,0.679810789049919,0.823308270676692,0.482413793103448,0.661844284276686
"61","afaf9330",2,0.550917832167832,0.762493354598618,0.427448593073593,0.580286593280014
"62","affea6fc",2,0.570756069058276,0.673148148148148,0.40139652014652,0.548433579117648
"63","b0ae6cfa",1,0.550267401021711,0.68399209486166,0.377827817343946,0.537362437742439
"64","b2a5db19",1,0.599122807017544,0.602369499828665,0.524527374470659,0.575339893772289
"65","b6586471",2,0.668478260869565,0.775804924242424,0.479619035511484,0.641300740207824
"66","b778eb4f",2,0.701086956521739,0.763923395445135,0.328546134172733,0.597852162046535
"67","b7d815e5",1,0.622501202501202,0.695298573975045,0.399539252170831,0.572446342882359
"68","beac6eba",1,0.637468671679198,0.732592641799803,0.479779411764706,0.616613575081236
"69","bf63d4b0",2,0.619096133751306,0.805296481211813,0.440064102564103,0.621485572509074
"70","c2777d5e",1,0.663848364279399,0.75201418951419,0.423781328320802,0.613214627371463
"71","c2b2b585",2,0.643466082085008,0.711768219832736,0.409420289855072,0.588218197257605
"72","c2efc2bd",1,0.6296875,0.803370140326662,0.430689650262019,0.621249096862894
"73","c5dd6f55",1,0.581576858629509,0.757894736842105,0.491935170807453,0.610468922093023
"74","d4970135",1,0.654682159945318,0.739995791245791,0.428623188405797,0.607767046532302
"75","d6fc8611",1,0.477272727272727,0.674471104231166,0.361845986257751,0.504529939253881
"76","d832cea2",2,0.663733766233766,0.805885708461559,0.477314814814815,0.64897809650338
"77","dba29b75",1,0.781123321123321,0.944444444444444,0.546991315136476,0.757519693568081
"78","dc760a5d",1,0.64042735042735,0.814213564213564,0.405328116017179,0.619989676886031
"79","dcd8e33b",1,0.621928730975014,0.807136227616777,0.5025,0.643854986197264
"80","e852c63d",2,0.74321497994636,0.799028296181996,0.445567226890756,0.662603501006371
"81","eac06b9a",2,0.715831600831601,0.826346801346801,0.418111899932387,0.653430100703596
"82","f32b7d38",2,0.528127470355731,0.674437813772852,0.326357519292302,0.509640934473628
"83","f3490f82",1,0.64958605664488,0.823872785829308,0.395975255459828,0.623144699311338
"84","f51c6a08",2,0.628003839960362,0.740425084175084,0.434247383163792,0.600892102433079
"85","f68d9943",2,0.581679894179894,0.696362433862434,0.359252132307052,0.54576482011646
"86","f88bdf93",1,0.646096619848742,0.833839069554407,0.466423273325743,0.648786320909631
"87","fd29b2f1",2,0.50684641445511,0.659600313479624,0.435420875420875,0.533955867785203
"88","feded5f4",2,0.716750841750842,0.738892686261107,0.517799631930067,0.657814386647339
